Circuit: * C:\Users\user\Desktop\spice\12-20UpConverter\12-20UpConverter.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.001353 to 0.001353
Heightened Def Con from 0.001364 to 0.001364
Heightened Def Con from 0.001375 to 0.001375
Heightened Def Con from 0.001386 to 0.001386
Heightened Def Con from 0.001397 to 0.001397
Heightened Def Con from 0.001408 to 0.001408
Heightened Def Con from 0.001419 to 0.001419
Heightened Def Con from 0.00143 to 0.00143
Heightened Def Con from 0.00143 to 0.00143
Heightened Def Con from 0.001441 to 0.001441
Heightened Def Con from 0.001452 to 0.001452
Heightened Def Con from 0.001452 to 0.001452
Heightened Def Con from 0.001452 to 0.001452
Heightened Def Con from 0.001463 to 0.001463
Heightened Def Con from 0.001463 to 0.001463
Heightened Def Con from 0.001474 to 0.001474
Heightened Def Con from 0.001485 to 0.001485
Heightened Def Con from 0.001496 to 0.001496
Heightened Def Con from 0.001507 to 0.001507
Heightened Def Con from 0.001518 to 0.001518
Heightened Def Con from 0.001518 to 0.001518
Heightened Def Con from 0.001529 to 0.001529
Heightened Def Con from 0.00154 to 0.00154
Heightened Def Con from 0.00154 to 0.00154
Heightened Def Con from 0.001551 to 0.001551
Heightened Def Con from 0.001551 to 0.001551
Heightened Def Con from 0.001562 to 0.001562
Heightened Def Con from 0.001573 to 0.001573
Heightened Def Con from 0.001584 to 0.001584
Heightened Def Con from 0.001595 to 0.001595
Heightened Def Con from 0.001606 to 0.001606
Heightened Def Con from 0.001606 to 0.001606
Heightened Def Con from 0.001617 to 0.001617
Heightened Def Con from 0.001628 to 0.001628
Heightened Def Con from 0.001639 to 0.001639
Heightened Def Con from 0.001639 to 0.001639
Heightened Def Con from 0.00165 to 0.00165
Heightened Def Con from 0.00165 to 0.00165
Heightened Def Con from 0.001661 to 0.001661
Heightened Def Con from 0.001661 +++++to 0.001661
Heightened Def Con from 0.001661 to 0.001661
Heightened Def Con from 0.001672 to 0.001672
